,CD,Incumbent,Party,Obama.2012,Romney.2012,Obama.2008,McCain.2008,state,dpres,stgj
47,26.0,"Brownley, Julia",(D),54.0,43.7,56.0,41.0,CA,55.2712384852,5
48,27.0,"Chu, Judy",(D),62.6,35.0,61.0,35.0,CA,64.1393442623,5
49,28.0,"Schiff, Adam",(D),70.3,26.5,70.0,26.0,CA,72.6239669421,5
50,29.0,"Cardenas, Tony",(D),77.0,20.5,74.0,23.0,CA,78.9743589744,5
51,30.0,"Sherman, Brad",(D),65.3,32.1,66.0,31.0,CA,67.0431211499,5
52,31.0,"Miller, Gary",(R),57.2,40.6,56.0,41.0,CA,58.4867075665,5
53,32.0,"Napolitano, Grace",(D),65.2,32.5,62.0,35.0,CA,66.7349027636,5
54,33.0,"Waxman, Henry",(D),60.6,36.8,64.0,33.0,CA,62.2176591376,5
55,34.0,"Becerra, Xavier",(D),83.0,14.1,77.0,19.0,CA,85.4788877446,5
56,35.0,"Negrete McLeod, Gloria",(D),67.4,30.6,64.0,32.0,CA,68.7755102041,5
57,36.0,"Ruiz, Raul",(D),50.7,47.5,50.0,47.0,CA,51.6293279022,5
58,37.0,"Bass, Karen",(D),84.9,12.7,84.0,13.0,CA,86.987704918,5
59,38.0,"Sanchez, Linda",(D),64.9,33.0,61.0,35.0,CA,66.2921348315,5
60,39.0,"Royce, Ed",(R),47.1,50.8,47.0,49.0,CA,48.1103166496,5
61,40.0,"Roybal-Allard, Lucille",(D),81.5,16.5,77.0,19.0,CA,83.1632653061,5
62,41.0,"Takano, Mark",(D),61.5,36.3,59.0,38.0,CA,62.8834355828,5
63,42.0,"Calvert, Ken",(R),41.4,56.5,43.0,54.0,CA,42.2880490296,5
64,43.0,"Waters, Maxine",(D),78.0,20.0,75.0,22.0,CA,79.5918367347,5
65,44.0,"Hahn, Janice",(D),84.7,13.6,81.0,16.0,CA,86.1648016277,5
66,45.0,"Campbell, John",(R),43.0,54.8,46.0,51.0,CA,43.9672801636,5
67,46.0,"Sanchez, Loretta",(D),61.4,36.2,58.0,39.0,CA,62.9098360656,5
68,47.0,"Lowenthal, Alan",(D),60.0,37.5,58.0,39.0,CA,61.5384615385,5
69,48.0,"Rohrabacher, Dana",(R),43.0,54.7,46.0,51.0,CA,44.0122824974,5
70,49.0,"Issa, Darrell",(R),45.7,52.4,49.0,48.0,CA,46.5851172273,5
71,50.0,"Hunter, Duncan",(R),37.6,60.4,39.0,58.0,CA,38.3673469388,5
72,51.0,"Vargas, Juan",(D),69.4,28.9,65.0,32.0,CA,70.6002034588,5
73,52.0,"Peters, Scott",(D),52.1,45.7,55.0,43.0,CA,53.2719836401,5
74,53.0,"Davis, Susan",(D),61.4,36.4,61.0,36.0,CA,62.7811860941,5
75,1.0,"DeGette, Diana",(D),69.0,28.8,70.9,27.6,CO,70.5521472393,6
76,2.0,"Polis, Jared",(D),57.9,39.5,61.2,37.2,CO,59.4455852156,6
77,3.0,"Tipton, Scott",(R),45.8,51.8,48.4,49.9,CO,46.9262295082,6
78,4.0,"Gardner, Cory",(R),39.2,58.5,41.9,56.4,CO,40.1228249744,6
79,5.0,"Lamborn, Doug",(R),38.3,59.1,39.7,58.8,CO,39.3223819302,6
80,6.0,"Coffman, Mike",(R),51.6,46.5,53.6,44.9,CO,52.5993883792,6
81,7.0,"Perlmutter, Ed",(D),56.1,41.3,57.4,40.7,CO,57.5975359343,6
82,1.0,"Larson, John",(D),63.0,36.0,66.0,33.0,CT,63.6363636364,7
83,2.0,"Courtney, Joe",(D),56.0,43.0,59.0,40.0,CT,56.5656565657,7
84,3.0,"DeLauro, Rosa",(D),63.0,36.0,63.0,36.0,CT,63.6363636364,7
85,4.0,"Himes, Jim",(D),55.0,44.0,60.0,40.0,CT,55.5555555556,7
86,5.0,"Esty, Elizabeth",(D),54.0,45.0,56.0,42.0,CT,54.5454545455,7
87,1.0,"Carney, John",(D),58.6,40.0,61.9,36.9,DE,59.4320486815,8
88,1.0,"Miller, Jeff",(R),30.2,68.7,32.1,67.0,FL,30.5358948433,9
89,2.0,"Southerland, Steve",(R),46.5,52.3,47.1,52.0,FL,47.0647773279,9
90,3.0,"Yoho, Ted",(R),37.4,61.5,39.6,59.3,FL,37.8159757331,9
91,4.0,"Crenshaw, Ander",(R),35.4,63.7,36.6,62.7,FL,35.721493441,9
92,5.0,"Brown, Corrine",(D),71.1,28.2,70.6,28.8,FL,71.6012084592,9
93,6.0,"DeSantis, Ron",(R),41.4,57.7,45.6,53.6,FL,41.7759838547,9
94,7.0,"Mica, John",(R),47.2,51.7,49.2,50.0,FL,47.7249747219,9
95,8.0,"Posey, Bill",(R),42.2,56.8,44.0,55.1,FL,42.6262626263,9
96,9.0,"Grayson, Alan",(D),61.9,37.2,60.3,39.1,FL,62.4621594349,9
97,10.0,"Webster, Dan",(R),45.7,53.4,47.2,52.0,FL,46.1150353179,9
98,11.0,"Nugent, Rich",(R),40.2,58.8,43.1,55.9,FL,40.6060606061,9
99,12.0,"Bilirakis, Gus",(R),44.8,54.0,46.8,52.2,FL,45.3441295547,9
100,13.0,"Young, Bill",(R),50.1,48.6,51.3,47.5,FL,50.7598784195,9
101,14.0,"Castor, Kathy",(D),65.1,34.0,65.2,34.0,FL,65.6912209889,9
102,15.0,"Ross, Dennis",(R),45.6,53.3,46.1,53.1,FL,46.1071789687,9
103,16.0,"Buchanan, Vern",(R),44.9,54.2,48.2,50.9,FL,45.3077699294,9
104,17.0,"Rooney, Tom",(R),41.2,57.9,43.2,55.9,FL,41.5741675076,9
105,18.0,"Murphy, Patrick",(D),47.6,51.7,51.2,48.1,FL,47.9355488419,9
106,19.0,"Radel, Trey",(R),38.8,60.6,42.4,56.9,FL,39.0342052314,9
107,20.0,"Hastings, Alcee",(D),82.6,17.0,80.5,19.1,FL,82.9317269076,9
108,21.0,"Deutch, Ted",(D),60.6,38.9,63.6,35.9,FL,60.9045226131,9
109,22.0,"Frankel, Lois",(D),54.4,44.9,56.8,42.6,FL,54.7834843907,9
110,23.0,"Wasserman Schultz, Debbie",(D),61.5,37.9,61.9,37.6,FL,61.8712273642,9
111,24.0,"Wilson, Frederica",(D),87.6,12.1,86.2,13.5,FL,87.8635907723,9
112,25.0,"Diaz-Balart, Mario",(R),48.7,50.8,45.6,54.0,FL,48.9447236181,9
113,26.0,"Garcia, Joe",(D),53.1,46.4,49.6,50.0,FL,53.3668341709,9
114,27.0,"Ros-Lehtinen, Ileana",(R),53.0,46.5,48.6,51.0,FL,53.2663316583,9
115,1.0,"Kingston, Jack",(R),43.0,55.9,44.4,55.0,GA,43.4782608696,10
116,2.0,"Bishop, Sanford",(D),58.6,40.8,57.9,41.6,GA,58.953722334,10
117,3.0,"Westmoreland, Lynn",(R),33.0,65.9,34.0,65.3,GA,33.3670374115,10
118,4.0,"Johnson, Hank",(D),73.6,25.6,73.2,26.3,GA,74.1935483871,10
119,5.0,"Lewis, John",(D),83.1,15.8,84.4,15.0,GA,84.0242669363,10
120,6.0,"Price, Tom",(R),37.5,60.8,40.1,59.0,GA,38.1485249237,10
121,7.0,"Woodall, Rob",(R),38.3,60.2,39.1,60.1,GA,38.883248731,10
122,8.0,"Scott, Austin",(R),37.5,61.6,37.8,61.6,GA,37.8405650858,10
123,9.0,"Collins, Doug",(R),20.5,78.1,24.3,74.7,GA,20.7910750507,10
124,10.0,"Broun, Paul",(R),36.3,62.5,38.8,60.4,GA,36.7408906883,10
125,11.0,"Gingrey, Phil",(R),31.5,66.9,34.7,64.3,GA,32.012195122,10
126,12.0,"Barrow, John",(D),43.6,55.4,43.9,55.6,GA,44.0404040404,10
127,13.0,"Scott, David",(D),69.2,30.0,67.1,32.3,GA,69.7580645161,10
128,14.0,"Graves, Tom",(R),25.3,73.2,27.8,71.0,GA,25.6852791878,10
129,1.0,"Hanabusa, Colleen",(D),69.7,29.0,70.3,28.3,HI,70.6180344478,11
130,2.0,"Gabbard, Tulsi",(D),71.4,26.7,73.4,24.9,HI,72.7828746177,11
131,1.0,"Braley, Bruce",(D),56.2,42.5,58.5,40.4,IA,56.9402228977,15
132,2.0,"Loebsack, David",(D),55.8,42.7,57.1,41.6,IA,56.6497461929,15
133,3.0,"Latham, Tom",(R),51.4,47.2,52.4,46.3,IA,52.1298174442,15
134,4.0,"King, Steve",(R),45.3,53.4,48.5,50.2,IA,45.896656535,15
135,1.0,"Labrador, Raul",(R),32.2,64.9,35.1,62.5,ID,33.1616889804,12
136,2.0,"Simpson, Mike",(R),33.1,64.1,37.1,60.5,ID,34.0534979424,12
137,1.0,"Rush, Bobby",(D),79.0,20.2,80.8,18.5,IL,79.6370967742,13
138,2.0,VACANT,(D),80.7,18.5,81.1,18.2,IL,81.3508064516,13
139,3.0,"Lipinski, Dan",(D),55.9,42.6,58.3,40.4,IL,56.7512690355,13
140,4.0,"Gutierrez, Luis",(D),80.9,17.1,80.5,18.2,IL,82.5510204082,13
141,5.0,"Quigley, Mike",(D),66.0,31.8,69.9,28.8,IL,67.4846625767,13
142,6.0,"Roskam, Peter",(R),45.1,53.3,51.3,47.3,IL,45.8333333333,13
143,7.0,"Davis, Danny",(D),87.2,11.8,89.4,9.9,IL,88.0808080808,13
144,8.0,"Duckworth, Tammy",(D),57.4,40.9,61.5,37.1,IL,58.3926754832,13
145,9.0,"Schakowsky, Jan",(D),65.0,33.3,68.6,30.3,IL,66.1241098678,13
146,10.0,"Schneider, Brad",(D),57.5,41.1,63.0,35.9,IL,58.3164300203,13
147,11.0,"Foster, Bill",(D),57.8,40.6,61.3,37.5,IL,58.7398373984,13
148,12.0,"Enyart, William",(D),49.7,48.2,54.7,43.6,IL,50.7660878447,13
149,13.0,"Davis, Rodney",(R),48.6,48.9,54.6,43.6,IL,49.8461538462,13
150,14.0,"Hultgren, Randy",(R),44.2,54.2,50.7,48.0,IL,44.918699187,13
151,15.0,"Shimkus, John",(R),34.1,63.9,42.8,55.4,IL,34.7959183673,13
152,16.0,"Kinzinger, Adam",(R),45.2,52.9,50.0,48.2,IL,46.0754332314,13
153,17.0,"Bustos, Cheri",(D),57.6,40.6,60.0,38.5,IL,58.6558044807,13
154,18.0,"Schock, Aaron",(R),37.4,60.7,44.1,54.4,IL,38.124362895,13
155,1.0,"Visclosky, Pete",(D),61.2,37.4,63.3,35.8,IN,62.0689655172,14
156,2.0,"Walorski, Jackie",(R),42.1,56.1,49.6,49.3,IN,42.8716904277,14
157,3.0,"Stutzman, Marlin",(R),35.7,62.5,43.0,56.0,IN,36.3543788187,14
158,4.0,"Rokita, Todd",(R),36.9,60.9,44.6,54.2,IN,37.7300613497,14
159,5.0,"Brooks, Susan",(R),40.7,57.5,46.6,52.6,IN,41.4460285132,14
160,6.0,"Messer, Luke",(R),37.3,60.4,43.6,55.0,IN,38.1780962129,14
161,7.0,"Carson, Andre",(D),62.9,35.4,66.3,32.8,IN,63.987792472,14
162,8.0,"Bucshon, Larry",(R),39.6,58.4,48.1,50.6,IN,40.4081632653,14
163,9.0,"Young, Todd",(R),40.7,57.2,46.2,52.7,IN,41.5730337079,14
164,1.0,"Huelskamp, Tim",(R),27.6,70.1,31.0,67.2,KS,28.2497441146,16
165,2.0,"Jenkins, Lynn",(R),42.0,55.6,45.3,52.8,KS,43.0327868852,16
166,3.0,"Yoder, Kevin",(R),44.3,53.8,48.8,49.9,KS,45.1580020387,16
167,4.0,"Pompeo, Mike",(R),36.1,61.6,39.5,58.6,KS,36.9498464688,16
168,1.0,"Whitfield, Ed",(R),32.1,66.4,36.9,61.6,KY,32.5888324873,17
169,2.0,"Guthrie, Brett",(R),35.1,63.3,37.2,61.5,KY,35.6707317073,17
170,3.0,"Yarmuth, John",(D),55.7,42.8,56.2,42.8,KY,56.5482233503,17
171,4.0,"Massie, Thomas",(R),34.8,63.4,37.0,61.5,KY,35.4378818737,17
172,5.0,"Rogers, Hal",(R),23.2,75.0,31.6,66.6,KY,23.6252545825,17
173,6.0,"Barr, Andy",(R),42.2,55.8,44.8,53.7,KY,43.0612244898,17
174,1.0,"Scalise, Steve",(R),26.9,70.9,25.3,72.7,LA,27.5051124744,18
175,2.0,"Richmond, Cedric",(D),75.8,22.8,73.4,25.4,LA,76.8762677485,18
176,3.0,"Boustany, Charles",(R),32.3,66.1,34.1,64.2,LA,32.825203252,18
177,4.0,"Fleming, John",(R),39.7,59.0,39.9,58.9,LA,40.2228976697,18
178,5.0,"Alexander, Rodney",(R),37.7,61.0,36.7,62.0,LA,38.1965552178,18
179,6.0,"Cassidy, Bill",(R),32.0,66.1,30.9,67.5,LA,32.619775739,18
180,1.0,"Neal, Richard",(D),64.0,34.0,64.0,34.0,MA,65.306122449,21
181,2.0,"McGovern, Jim",(D),60.0,37.0,60.0,37.0,MA,61.8556701031,21
182,3.0,"Tsongas, Niki",(D),59.0,39.0,59.0,39.0,MA,60.2040816327,21
183,4.0,"Kennedy, Joe",(D),60.0,38.0,60.0,38.0,MA,61.2244897959,21
184,5.0,"Markey, Ed",(D),66.0,32.0,66.0,32.0,MA,67.3469387755,21
185,6.0,"Tierney, John",(D),57.0,41.0,57.0,41.0,MA,58.1632653061,21
186,7.0,"Capuano, Mike",(D),82.0,17.0,82.0,17.0,MA,82.8282828283,21
187,8.0,"Lynch, Stephen",(D),58.0,40.0,58.0,40.0,MA,59.1836734694,21
188,9.0,"Keating, Bill",(D),58.0,41.0,58.0,41.0,MA,58.5858585859,21
189,1.0,"Harris, Andy",(R),37.8,60.3,38.4,59.6,MD,38.5321100917,20
190,2.0,"Ruppersberger, Dutch",(D),62.9,35.1,60.6,37.5,MD,64.1836734694,20
191,3.0,"Sarbanes, John",(D),60.6,37.2,60.1,38.0,MD,61.963190184,20
192,4.0,"Edwards, Donna",(D),78.3,20.7,77.3,21.8,MD,79.0909090909,20
193,5.0,"Hoyer, Steny",(D),66.2,32.3,65.1,33.6,MD,67.2081218274,20
194,6.0,"Delaney, John",(D),55.4,42.6,56.3,42.0,MD,56.5306122449,20
195,7.0,"Cummings, Elijah",(D),76.0,22.5,76.2,22.4,MD,77.1573604061,20
196,8.0,"Van Hollen, Chris",(D),62.0,36.1,62.8,35.6,MD,63.2008154944,20
197,1.0,"Pingree, Chellie",(D),60.0,38.0,61.0,38.0,ME,61.2244897959,19
198,2.0,"Michaud, Mike",(D),53.0,44.0,55.0,43.0,ME,54.6391752577,19
199,1.0,"Benishek, Dan",(R),45.3,53.6,49.7,48.4,MI,45.8038422649,22
200,2.0,"Huizenga, Bill",(R),43.1,56.0,48.0,50.3,MI,43.4914228052,22
201,3.0,"Amash, Justin",(R),45.8,53.1,49.7,48.6,MI,46.3094034378,22
202,4.0,"Camp, David",(R),45.5,53.5,49.6,48.6,MI,45.9595959596,22
203,5.0,"Kildee, Dan",(D),60.7,38.3,63.0,35.3,MI,61.3131313131,22
204,6.0,"Upton, Fred",(R),48.8,50.2,53.1,45.2,MI,49.2929292929,22
