"","Votes Cast","Liberal","Prog. Conservative","New Democratic Party","Social Credit"
"Thunder Bay-Atikokan",34185,0.348720199,0.303992979,0.341290039,0
"Thunder Bay-Nipigon",34935,0.4486618,0.221811936,0.323114355,0
"Timiskaming",28531,0.382040587,0.211559356,0.406400056,0
"Timmins-Chapleau",31556,0.430250982,0.247781721,0.321967296,0
"Trinity",21292,0.479334961,0.227456322,0.258500845,0
"Trois-Rivieres",38231,0.609740786,0.107216657,0.04399571,0.207946431
"Vancouver, Centre",44541,0.346422397,0.344289531,0.29972385,0
"Vancouver, East",32071,0.390446197,0.165383056,0.427083658,0.010414393
"Vancouver, Kingsway",35584,0.323263264,0.222009892,0.447616906,0
"Vancouver, North-Burnaby",43335,0.331764163,0.381793008,0.278850813,0.004338295
"Vancouver, Quadra",43599,0.294043441,0.455721462,0.244615702,0
"Vancouver, South",42108,0.250736202,0.537973782,0.209128907,0
"Vaudreuil",59283,0.700166996,0.131353002,0.076109509,0.061147378
"Vegreville",33751,0.114011437,0.783621226,0.094545347,0
"Vercheres",58171,0.628182428,0.14020732,0.062780423,0.128242595
"Verdun",41772,0.722445657,0.117494973,0.055036867,0.055084746
"Victoria",51259,0.151505102,0.547377046,0.299342554,0
"Victoria-Haliburton",45649,0.262963044,0.58323293,0.15053999,0
"Waterloo",51750,0.351149758,0.460618357,0.18115942,0
"Welland",43066,0.372103283,0.360539637,0.258928157,0
"Wellington-Dufferin-Simcoe",41753,0.268292099,0.618087323,0.113620578,0
"Western Arctic",11543,0.331542926,0.351555055,0.293251321,0
"Westmorland-Kent",30888,0.637626263,0.213157213,0.149216524,0
"Wetaskiwin",36416,0.138510545,0.762988796,0.098500659,0
"Willowdale",49676,0.399549078,0.447660842,0.143489814,0
"Windsor, West",34894,0.485556256,0.168195105,0.341204792,0
"Windsor-Walkerville",40843,0.429963519,0.177876258,0.385476091,0
"Winnipeg, North",42551,0.188056685,0.27611572,0.526826632,0
"Winnipeg, North Centre",26236,0.206891294,0.206128983,0.576345479,0
"Winnipeg-Assiniboine",50031,0.273190622,0.563490636,0.158881493,0.002998141
"Winnipeg-Birds Hill",50820,0.111648957,0.384415584,0.501613538,0
"Winnipeg-Fort Garry",45757,0.411346898,0.400747427,0.178683043,0.005354372
"Winnipeg-St. James",32158,0.237452578,0.39305927,0.36529013,0
"Yellowhead",41210,0.171875758,0.700048532,0.087357438,0
"York, Centre",40649,0.513149155,0.217865138,0.257423307,0
"York, East",48602,0.392802765,0.419159705,0.17799679,0.002571911
"York, North",59338,0.37058883,0.488910985,0.12792814,0
"York, South-Weston",37053,0.402477532,0.303241303,0.282055434,0
"York, West",39145,0.470302721,0.270072806,0.248103206,0
"York-Peel",51355,0.274715218,0.566273975,0.150423523,0
"York-Scarborough",81214,0.402627626,0.452114168,0.135173739,0
"York-Sunbury",39460,0.299417131,0.5504815,0.143563102,0
"Yorkton-Melville",35125,0.1566121,0.324014235,0.474790036,0
"Yukon",10181,0.301050977,0.445732246,0.253216776,0
